Origem;Destino
R. Vila Rica - Novo Osasco, Osasco - SP, 06045-130, Brasil;Av. Dos Autonomistas, 1542 - Vila Yara - Osasco - SP, 06020-015
Rua Barão do Bom Retiro, 2083 - Grajaú - Rio de Janeiro - RJ, 20540-341;R. Voluntários da Pátria, 24 - Botafogo, Rio de Janeiro - RJ, 22270-010, Brazil,24
Rua da Secretaria, Condomínio Residencial Village dos Jasmins - Santa Clara, São Luís - MA, 65058-619, Brazil;Av. Contorno Sul Quadra 6, 23 - Cohatrac I - São Luís - MA, 65053-575
Rua Jacy Toledo, 303 - Vila Sabrina, São Paulo - SP, 02140, Brasil;R. São Felipe, 92 - Parque Vila Maria, São Paulo - SP, 02169-190, Brasil
R. São Benedito, 80 - Monte Carlo, Araçatuba - SP, 16072-080, Brasil;ASSAÍ ATACADISTA, Av. Waldemar Alves, 50 - Vila Industrial, Araçatuba - SP, 16050-225, Brasil
Av. Marginal Leste BR 101 Km 133, S/N - Centro - Balneário Camboriú - SC, 88330-116;R. Dom Pedro - Jardim Iate Clube, Balneário Camboriú - SC, 88337-210, Brasil
Av. São Luis Rei de França, 10/11 - Turu - São Luís - MA, 65065-470;Av. São Luís Rei de França, 28 - Olho D'agua, São Luís - MA, 65065-470, Brasil
Av. Arterial Oeste Interna Qd 10-E, 07 - Cidade Operaria - São Luís - MA, 65058-010;Rua da Secretaria, Condomínio Residencial Village dos Jasmins - Santa Clara, São Luís - MA, 65058-619, Brasil
R. Buenos Aires, 130 - Centro, Rio de Janeiro - RJ, 20070-022, Brasil;Supermercados Guanabara, Rua Adolfo Bergamini, 113, Engenho de Dentro, Rio de Janeiro - RJ, 20730-00
